 Proto Local address                  Remote address                 Status        PID    Program name
tcp   192.168.1.254:61538            104.244.42.2:443               ESTABLISHED   34144  Tweetbot
tcp   127.0.0.1:6463                 -                              LISTEN        33861  Discord Helper 
tcp   192.168.1.254:62832            162.159.133.234:443            ESTABLISHED   33856  Discord Helper
tcp   192.168.1.254:50028            162.159.137.232:443            ESTABLISHED   33856  Discord Helper
tcp   192.168.1.254:50665            162.159.136.232:443            ESTABLISHED   33856  Discord Helper
tcp   192.168.1.254:58873            35.186.224.47:443              ESTABLISHED   33856  Discord Helper
tcp   192.168.1.254:62834            157.240.7.54:443               ESTABLISHED   33808  WhatsApp Helper
tcp   0.0.0.0:51784                  -                              LISTEN        33140  Music
tcp6  :::51784                       -                              LISTEN        33140  Music
udp   0.0.0.0:0                      -                              NONE          31723  PerfPowerServic
udp   0.0.0.0:0                      -                              NONE          31723  PerfPowerServic
udp   0.0.0.0:0                      -                              NONE          31723  PerfPowerServic
udp   0.0.0.0:0                      -                              NONE          31723  PerfPowerServic
udp   0.0.0.0:137                    -                              NONE          31652  netbiosd
udp   0.0.0.0:138                    -                              NONE          31652  netbiosd
tcp   127.0.0.1:44950                -                              LISTEN        30691  figma_agent
tcp   127.0.0.1:44970                -                              LISTEN        30691  figma_agent
tcp   127.0.0.1:44960                -                              LISTEN        30691  figma_agent
tcp   192.168.1.254:59909            34.237.73.95:443               ESTABLISHED   29600  Notion
tcp   192.168.1.254:50680            104.18.23.110:443              ESTABLISHED   29600  Notion
tcp   192.168.1.254:60024            104.18.23.110:443              ESTABLISHED   29600  Notion
tcp   192.168.1.254:50681            54.244.190.144:443             ESTABLISHED   29600  Notion
tcp   0.0.0.0:49361                  -                              LISTEN        20900  AMPDevicesAgent
tcp6  fe80:a::406:473c:6cca:c6a7:50784 fe80:a::1441:4111:7861:8509:50246 ESTABLISHED   20900  AMPDevicesAgent
tcp6  fe80:a::406:473c:6cca:c6a7:50734 fe80:a::1441:4111:7861:8509:50237 ESTABLISHED   20900  AMPDevicesAgent
tcp6  fe80:a::406:473c:6cca:c6a7:50750 fe80:a::1441:4111:7861:8509:50239 ESTABLISHED   20900  AMPDevicesAgent
tcp6  fe80:a::406:473c:6cca:c6a7:50766 fe80:a::1441:4111:7861:8509:50241 ESTABLISHED   20900  AMPDevicesAgent
tcp6  fe80:a::406:473c:6cca:c6a7:50769 fe80:a::1441:4111:7861:8509:50242 ESTABLISHED   20900  AMPDevicesAgent
udp   0.0.0.0:0                      -                              NONE          5477   SystemUIServer
udp   0.0.0.0:0                      -                              NONE          5477   SystemUIServer
udp   0.0.0.0:0                      -                              NONE          5312   iStat Menus Sta
tcp   192.168.1.254:49500            217.146.190.234:993            CLOSE_WAIT    1138   Mail
tcp   192.168.1.254:59925            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:59926            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:59948            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:59925            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:59926            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:49500            217.146.190.234:993            CLOSE_WAIT    1138   Mail
tcp   192.168.1.254:50403            52.98.40.34:443                ESTABLISHED   1138   Mail
tcp   192.168.1.254:59948            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:49475            217.146.190.234:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:50008            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:50404            52.98.40.34:443                ESTABLISHED   1138   Mail
tcp   192.168.1.254:50405            52.98.40.34:443                ESTABLISHED   1138   Mail
tcp   192.168.1.254:50008            74.125.24.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:57803            74.125.68.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:49475            217.146.190.234:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:49993            172.217.194.108:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:58210            74.125.68.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:58210            74.125.68.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:57803            74.125.68.109:993              ESTABLISHED   1138   Mail
tcp   192.168.1.254:64994            172.217.194.108:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:49249            217.146.190.234:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:64994            172.217.194.108:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:49249            217.146.190.234:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:62579            52.98.33.226:993               ESTABLISHED   1138   Mail
tcp   192.168.1.254:62579            52.98.33.226:993               ESTABLISHED   1138   Mail
tcp   192.168.1.254:49993            172.217.194.108:993            ESTABLISHED   1138   Mail
tcp   192.168.1.254:57798            52.98.65.18:143                ESTABLISHED   1138   Mail
tcp   192.168.1.254:57798            52.98.65.18:143                ESTABLISHED   1138   Mail
tcp   127.0.0.1:4380                 -                              LISTEN        740    SpotifyWebHelpe
tcp   0.0.0.0:59866                  -                              LISTEN        727    LogiMgrDaemon
udp   0.0.0.0:59867                  -                              NONE          727    LogiMgrDaemon
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
udp   0.0.0.0:0                      -                              NONE          614    sharingd
tcp   0.0.0.0:3689                   -                              LISTEN        613    mediasharingd
tcp6  :::3689                        -                              LISTEN        613    mediasharingd
tcp   192.168.1.254:59974            34.226.104.240:443             ESTABLISHED   608    firefox
tcp   192.168.1.254:59906            100.20.6.188:443               ESTABLISHED   608    firefox
tcp   192.168.1.254:59966            52.0.218.127:443               ESTABLISHED   608    firefox
tcp   192.168.1.254:50618            13.251.87.140:443              ESTABLISHED   602    parsecd
tcp   192.168.1.254:49217            140.82.112.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:49425            140.82.112.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:49425            140.82.112.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:49217            140.82.112.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:65497            140.82.113.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:65497            140.82.113.25:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50622            172.217.27.4:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:49211            140.82.113.26:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:49211            140.82.113.26:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50030            74.125.200.189:443             ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50652            104.16.182.15:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50625            172.217.194.155:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50623            74.125.130.157:443             ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50653            104.16.182.15:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50624            172.217.27.4:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50630            74.125.130.94:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50161            74.125.200.94:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50631            74.125.200.94:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50632            172.217.194.139:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50634            104.16.19.94:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50636            172.217.194.100:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50654            151.101.0.233:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50639            74.125.24.95:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50629            74.125.24.113:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50655            151.101.194.109:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50646            172.217.194.84:443             ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50640            74.125.24.94:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50658            13.227.255.84:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50673            172.217.194.113:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50659            104.16.19.94:443               ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50662            151.101.10.208:443             ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50661            185.199.109.153:443            ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50663            104.16.182.15:443              ESTABLISHED   597    com.apple.WebKi
tcp   192.168.1.254:50674            172.217.194.113:443            ESTABLISHED   597    com.apple.WebKi
